Country Name;Country Code;Indicator Name;Indicator Code;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Aruba;ABW;Population density (people per sq. km of land area);EN.POP.DNST;504.811111111111;516.066666666667;527.733333333333;538.977777777778;548.577777777778;555.711111111111;560.166666666667;562.366666666667;563.122222222222;563.622222222222;564.805555555556;566.944444444444;569.805555555556;573.138888888889;576.533333333333;579.661111111111;582.583333333333;585.338888888889;588.033333333333;590.611111111111;593.144444444444;
Africa Eastern and Southern;AFE;Population density (people per sq. km of land area);EN.POP.DNST;27.321141361789;28.0354813891203;28.7698949004335;29.5263601944905;30.0016590369058;30.8014133174407;31.6286788512768;32.483559028754;33.3672048670407;34.2795815935564;35.2197365336312;36.1899148570708;36.8795276688045;37.8980507310569;38.9405217157582;40.0044648877608;41.089451476288;42.1951621028476;43.3198805539356;44.4620445393142;45.6205916725422;
Afghanistan;AFG;Population density (people per sq. km of land area);EN.POP.DNST;31.8598607853058;33.1278720696687;34.6515401008847;36.3075464176747;37.9109961210003;39.3331708139767;40.5272035938243;41.5505910491698;42.5038422029039;43.5349585269;44.7472686015669;46.1760590589209;47.7766708063107;49.4757861490578;51.164166015056;52.7629869831195;54.2493108259356;55.649251031078;56.9920457507321;58.3256780583536;59.6849899575303;
Africa Western and Central;AFW;Population density (people per sq. km of land area);EN.POP.DNST;29.5402435168664;30.3383338971321;31.1573440875193;32.0005052079533;32.8720240819476;33.7749301884415;34.7107130617813;35.6786983543708;36.6770284044051;37.702722927155;38.7536382711054;39.8291179975635;40.9299161598005;42.0569476595716;43.2116389078664;44.3949168562578;45.6070453846987;46.8472514255266;48.1140798250676;49.4055347355341;50.720206664483;
Angola;AGO;Population density (people per sq. km of land area);EN.POP.DNST;13.1511005053341;13.5924865645304;14.0526333520494;14.5355554664314;15.0462324536777;15.588035614021;16.1625932461699;16.7685569904548;17.4024512713564;18.0590960134756;18.7344565653325;19.4278174380364;20.1395083019171;20.8677195796904;21.610470040908;22.3665516964787;23.1350621641133;23.9165549049491;24.7130721103714;25.527632148873;26.3626116948745;
Albania;ALB;Population density (people per sq. km of land area);EN.POP.DNST;112.738211678832;111.685145985401;111.350729927007;110.934890510949;110.472226277372;109.908284671533;109.21704379562;108.394781021898;107.566204379562;106.843759124088;106.314635036496;106.02901459854;105.854051094891;105.660291970803;105.441751824818;105.135145985401;104.967189781022;104.870693430657;104.612262773723;104.167554744526;103.571131386861;
Andorra;AND;Population density (people per sq. km of land area);EN.POP.DNST;139.127659574468;143.285106382979;149.03829787234;155.702127659574;162.234042553192;167.810638297872;172.329787234043;175.91914893617;178.425531914894;179.704255319149;179.689361702128;178.187234042553;175.376595744681;171.851063829787;168.53829787234;165.942553191489;164.457446808511;163.823404255319;163.846808510638;164.140425531915;164.393617021277;
Arab World;ARB;Population density (people per sq. km of land area);EN.POP.DNST;20.743163668831;21.1904356713119;21.6483632029579;22.1224242356562;22.6182789651583;23.1401049029219;23.6900592455789;24.2658673130497;24.8613223340742;25.470900402834;26.0779420086513;26.6853873088851;28.3522199469637;28.983050139768;29.6094990885858;30.2299495867647;30.8417234143751;31.4447449835999;32.0484735350402;32.6604891383543;33.2872101772223;
United Arab Emirates;ARE;Population density (people per sq. km of land area);EN.POP.DNST;44.1293579273444;46.5041115178823;48.9829484652211;52.265995494227;57.287764010138;64.6046465784286;74.6292875246409;86.8606871303858;99.8237961137708;111.480822303576;120.388594762039;125.975471698113;128.718642635877;129.511517882287;129.740664601521;130.426584060828;131.807589411433;133.584990143622;135.609208673613;137.574288932695;139.262179667699;
Argentina;ARG;Population density (people per sq. km of land area);EN.POP.DNST;13.4727703905082;13.6207038429636;13.7690944169782;13.9174937607109;14.0651553519032;14.2116659175866;14.3567141327662;14.5008397005141;14.6454874318977;14.792609320018;14.904301546759;15.0771515955406;15.2495426957383;15.421160233713;15.5916453818299;15.7606327351655;15.9281350828921;16.0941907925267;16.2585100979651;16.4208266190179;16.580892611147;
